year,country_code,country,indicator,value
2016,COL,Colombia,Government revenue (% of GDP),27.719668486621
2016,COL,Colombia,Gross public debt (% of GDP),49.79625917077
2016,COL,Colombia,Interest on public debt (% of GDP),3.2713407272101
2016,COL,Colombia,Primary balance (% of GDP),0.9973863638011
2016,COL,Colombia,Primary expenditure (% of GDP),26.72228212282
2016,COL,Colombia,Real GDP growth rate (%),2.0873799076169
2017,COL,Colombia,Government expenditure (% of GDP),29.320522563445
2017,COL,Colombia,Government revenue (% of GDP),26.825001318077
2017,COL,Colombia,Gross public debt (% of GDP),49.436366495298
2017,COL,Colombia,Interest on public debt (% of GDP),3.1454708489667
2017,COL,Colombia,Primary balance (% of GDP),0.64994960359802
2017,COL,Colombia,Primary expenditure (% of GDP),26.175051714479
2017,COL,Colombia,Real GDP growth rate (%),1.35923748311
2018,COL,Colombia,Government expenditure (% of GDP),34.657894335932
2018,COL,Colombia,Government revenue (% of GDP),29.990242298186
2018,COL,Colombia,Gross public debt (% of GDP),53.584095411833
2018,COL,Colombia,Interest on public debt (% of GDP),2.993509522506
2018,COL,Colombia,Primary balance (% of GDP),-1.67414251524
2018,COL,Colombia,Primary expenditure (% of GDP),31.664384813426
2018,COL,Colombia,Real GDP growth rate (%),2.564324282777
2019,COL,Colombia,Government expenditure (% of GDP),32.878861580952
2019,COL,Colombia,Government revenue (% of GDP),29.397084153236
2019,COL,Colombia,Gross public debt (% of GDP),52.400954696491
2019,COL,Colombia,Interest on public debt (% of GDP),3.1237682582009
2019,COL,Colombia,Primary balance (% of GDP),-0.35800916951536
2019,COL,Colombia,Primary expenditure (% of GDP),29.755093322751
2019,COL,Colombia,Real GDP growth rate (%),3.1868553924553
2020,COL,Colombia,Government expenditure (% of GDP),33.541808810909
2020,COL,Colombia,Government revenue (% of GDP),26.588142185961
2020,COL,Colombia,Gross public debt (% of GDP),65.674122553459
2020,COL,Colombia,Interest on public debt (% of GDP),2.9636535704291
2020,COL,Colombia,Primary balance (% of GDP),-3.9900130545187
2020,COL,Colombia,Primary expenditure (% of GDP),30.57815524048
2020,COL,Colombia,Real GDP growth rate (%),-7.1859141376086
2021,COL,Colombia,Government expenditure (% of GDP),34.301696711758
2021,COL,Colombia,Government revenue (% of GDP),27.216510268149
2021,COL,Colombia,Gross public debt (% of GDP),64.039204789835
2021,COL,Colombia,Interest on public debt (% of GDP),3.1735404584375
2021,COL,Colombia,Primary balance (% of GDP),-3.9116459851715
2021,COL,Colombia,Primary expenditure (% of GDP),31.128156253321
2021,COL,Colombia,Real GDP growth rate (%),10.801320454823
2022,COL,Colombia,Government expenditure (% of GDP),33.93366738634
2022,COL,Colombia,Government revenue (% of GDP),27.763820191098
2022,COL,Colombia,Gross public debt (% of GDP),60.055426341204
2022,COL,Colombia,Interest on public debt (% of GDP),4.2533579610455
2022,COL,Colombia,Primary balance (% of GDP),-1.9164892341965
2022,COL,Colombia,Primary expenditure (% of GDP),29.680309425294
2022,COL,Colombia,Real GDP growth rate (%),7.2887654980336
2023,COL,Colombia,Government expenditure (% of GDP),35.040037891047
2023,COL,Colombia,Government revenue (% of GDP),32.316202393293
2023,COL,Colombia,Gross public debt (% of GDP),54.317081537768
2023,COL,Colombia,Interest on public debt (% of GDP),4.2562941835889
2023,COL,Colombia,Primary balance (% of GDP),1.5324586858347
2023,COL,Colombia,Primary expenditure (% of GDP),30.783743707459
2023,COL,Colombia,Real GDP growth rate (%),0.61040956579156
2005,HUN,Hungary,Government expenditure (% of GDP),49.318675673157
2005,HUN,Hungary,Government revenue (% of GDP),41.539836793735
2005,HUN,Hungary,Gross public debt (% of GDP),60.518347316832
2005,HUN,Hungary,Interest on public debt (% of GDP),4.0565451614311
2005,HUN,Hungary,Primary balance (% of GDP),-3.7222937179901
2005,HUN,Hungary,Primary expenditure (% of GDP),45.262130511726
2005,HUN,Hungary,Real GDP growth rate (%),4.2942776100918
2005,HUN,Hungary,Real long-term bond yield (%),3.2069283568949
2006,HUN,Hungary,Government expenditure (% of GDP),51.357640011619
2006,HUN,Hungary,Government revenue (% of GDP),42.097869134089
2006,HUN,Hungary,Gross public debt (% of GDP),64.426934229239
2006,HUN,Hungary,Interest on public debt (% of GDP),3.8435092153724
2006,HUN,Hungary,Primary balance (% of GDP),-5.4162616621581
2006,HUN,Hungary,Primary expenditure (% of GDP),47.514130796247
2006,HUN,Hungary,Real GDP growth rate (%),3.9460700270117
2006,HUN,Hungary,Real long-term bond yield (%),3.4972240908319
2007,HUN,Hungary,Government expenditure (% of GDP),49.861206815441
2007,HUN,Hungary,Government revenue (% of GDP),44.778201669512
2007,HUN,Hungary,Gross public debt (% of GDP),65.550333545724
2007,HUN,Hungary,Interest on public debt (% of GDP),4.0301496027993
2007,HUN,Hungary,Primary balance (% of GDP),-1.0528555431305
2007,HUN,Hungary,Primary expenditure (% of GDP),45.831057212642
2007,HUN,Hungary,Real GDP growth rate (%),0.27736670940755
2007,HUN,Hungary,Real long-term bond yield (%),-0.93284413164703
2008,HUN,Hungary,Government expenditure (% of GDP),48.745076320157
2008,HUN,Hungary,Government revenue (% of GDP),44.962496069717
2008,HUN,Hungary,Gross public debt (% of GDP),71.756844711314
2008,HUN,Hungary,Interest on public debt (% of GDP),4.0565954924531
2008,HUN,Hungary,Primary balance (% of GDP),0.27401524201302
2008,HUN,Hungary,Primary expenditure (% of GDP),44.688480827704
2008,HUN,Hungary,Real GDP growth rate (%),1.0039430593169
2008,HUN,Hungary,Real long-term bond yield (%),3.1953175748552
2009,HUN,Hungary,Government expenditure (% of GDP),50.559037186544
2009,HUN,Hungary,Government revenue (% of GDP),45.809266667009
2009,HUN,Hungary,Gross public debt (% of GDP),78.032030435308
2009,HUN,Hungary,Interest on public debt (% of GDP),4.5019157810465
2009,HUN,Hungary,Primary balance (% of GDP),-0.24785473848887
2009,HUN,Hungary,Primary expenditure (% of GDP),46.057121405497
2009,HUN,Hungary,Real GDP growth rate (%),-6.5978644268234
2009,HUN,Hungary,Real long-term bond yield (%),5.114453417843
2010,HUN,Hungary,Government expenditure (% of GDP),48.812972908624
2010,HUN,Hungary,Government revenue (% of GDP),44.386060472853
2010,HUN,Hungary,Gross public debt (% of GDP),80.006642145981
2010,HUN,Hungary,Interest on public debt (% of GDP),4.0896459764571
2010,HUN,Hungary,Primary balance (% of GDP),-0.33726645931307
2010,HUN,Hungary,Primary expenditure (% of GDP),44.723326932166
2010,HUN,Hungary,Real GDP growth rate (%),1.0762540427767
2010,HUN,Hungary,Real long-term bond yield (%),2.2067109769132
2011,HUN,Hungary,Government expenditure (% of GDP),49.060603047102
2011,HUN,Hungary,Government revenue (% of GDP),43.849209561275
2011,HUN,Hungary,Gross public debt (% of GDP),80.338277793394
2011,HUN,Hungary,Interest on public debt (% of GDP),4.1341847674917
2011,HUN,Hungary,Primary balance (% of GDP),-1.0772087183348
2011,HUN,Hungary,Primary expenditure (% of GDP),44.92641827961
2011,HUN,Hungary,Real GDP growth rate (%),1.8668406413826
2011,HUN,Hungary,Real long-term bond yield (%),3.4504176708217
2012,HUN,Hungary,Government expenditure (% of GDP),49.115836939816
2012,HUN,Hungary,Government revenue (% of GDP),46.791473809492
2012,HUN,Hungary,Gross public debt (% of GDP),78.154596649521
2012,HUN,Hungary,Interest on public debt (% of GDP),4.5507976426641
2012,HUN,Hungary,Primary balance (% of GDP),2.2264345123405
2012,HUN,Hungary,Primary expenditure (% of GDP),44.565039297151
2012,HUN,Hungary,Real GDP growth rate (%),-1.2502290925344
2012,HUN,Hungary,Real long-term bond yield (%),2.0230865876962
2013,HUN,Hungary,Government expenditure (% of GDP),50.061861030592
2013,HUN,Hungary,Government revenue (% of GDP),47.464378098467
2013,HUN,Hungary,Gross public debt (% of GDP),77.198454409926
2013,HUN,Hungary,Interest on public debt (% of GDP),4.509618391967
2013,HUN,Hungary,Primary balance (% of GDP),1.9121354598426
2013,HUN,Hungary,Primary expenditure (% of GDP),45.552242638625
2013,HUN,Hungary,Real GDP growth rate (%),1.8025221008227
2013,HUN,Hungary,Real long-term bond yield (%),3.5343973796232
2014,HUN,Hungary,Government expenditure (% of GDP),50.045821168285
2014,HUN,Hungary,Government revenue (% of GDP),47.270980045638
2014,HUN,Hungary,Gross public debt (% of GDP),76.542064527508
2014,HUN,Hungary,Interest on public debt (% of GDP),3.9631641886026
2014,HUN,Hungary,Primary balance (% of GDP),1.1883230659552
2014,HUN,Hungary,Primary expenditure (% of GDP),46.082656979683
2014,HUN,Hungary,Real GDP growth rate (%),4.2322128976848
2014,HUN,Hungary,Real long-term bond yield (%),4.174982170241
2015,HUN,Hungary,Government expenditure (% of GDP),50.379702820629
2015,HUN,Hungary,Government revenue (% of GDP),48.375706162579
2015,HUN,Hungary,Gross public debt (% of GDP),75.76044224298
2015,HUN,Hungary,Interest on public debt (% of GDP),3.440281630774
2015,HUN,Hungary,Primary balance (% of GDP),1.4362849727242
2015,HUN,Hungary,Primary expenditure (% of GDP),46.939421189855
2015,HUN,Hungary,Real GDP growth rate (%),3.707309937375
2015,HUN,Hungary,Real long-term bond yield (%),2.743043215479
2016,HUN,Hungary,Government expenditure (% of GDP),46.797618703694
2016,HUN,Hungary,Government revenue (% of GDP),45.000766157259
2016,HUN,Hungary,Gross public debt (% of GDP),74.850305189658
2016,HUN,Hungary,Interest on public debt (% of GDP),3.0879913107713
2016,HUN,Hungary,Primary balance (% of GDP),1.2911387643368
2016,HUN,Hungary,Primary expenditure (% of GDP),43.709627392923
2016,HUN,Hungary,Real GDP growth rate (%),2.2010048158724
2016,HUN,Hungary,Real long-term bond yield (%),1.7291677603525
2017,HUN,Hungary,Government expenditure (% of GDP),46.717738826494
2017,HUN,Hungary,Government revenue (% of GDP),44.258648882283
2017,HUN,Hungary,Gross public debt (% of GDP),72.113749806269
2017,HUN,Hungary,Interest on public debt (% of GDP),2.6471165690471
2017,HUN,Hungary,Primary balance (% of GDP),0.18802662483684
2017,HUN,Hungary,Primary expenditure (% of GDP),44.070622257446
2017,HUN,Hungary,Real GDP growth rate (%),4.2719760162069
2017,HUN,Hungary,Real long-term bond yield (%),-0.63535764392553
2018,HUN,Hungary,Government expenditure (% of GDP),46.095614071682
2018,HUN,Hungary,Government revenue (% of GDP),44.039055047041
2018,HUN,Hungary,Gross public debt (% of GDP),69.079218037044
2018,HUN,Hungary,Interest on public debt (% of GDP),2.330671996102
2018,HUN,Hungary,Primary balance (% of GDP),0.27411297146063
2018,HUN,Hungary,Primary expenditure (% of GDP),43.76494207558
2018,HUN,Hungary,Real GDP growth rate (%),5.3623456780184
2018,HUN,Hungary,Real long-term bond yield (%),-0.67984501523819
2019,HUN,Hungary,Government expenditure (% of GDP),46.0845150857
2019,HUN,Hungary,Government revenue (% of GDP),44.037836869667
2019,HUN,Hungary,Gross public debt (% of GDP),65.33346861269
2019,HUN,Hungary,Interest on public debt (% of GDP),2.2251769075789
2019,HUN,Hungary,Primary balance (% of GDP),0.17849869154553
2019,HUN,Hungary,Primary expenditure (% of GDP),43.859338178121
2019,HUN,Hungary,Real GDP growth rate (%),4.8642309533314
2019,HUN,Hungary,Real long-term bond yield (%),-1.7933469886042
2020,HUN,Hungary,Government expenditure (% of GDP),51.409831800424
2020,HUN,Hungary,Government revenue (% of GDP),43.849900816345
2020,HUN,Hungary,Gross public debt (% of GDP),79.253621372791
2020,HUN,Hungary,Interest on public debt (% of GDP),2.3269731445531
2020,HUN,Hungary,Primary balance (% of GDP),-5.2329578395257
2020,HUN,Hungary,Primary expenditure (% of GDP),49.082858655871
2020,HUN,Hungary,Real GDP growth rate (%),-4.4870507966709
2020,HUN,Hungary,Real long-term bond yield (%),-1.7978919509405
2021,HUN,Hungary,Government expenditure (% of GDP),48.404983485456
2021,HUN,Hungary,Government revenue (% of GDP),41.249827891424
2021,HUN,Hungary,Gross public debt (% of GDP),76.689281113187
2021,HUN,Hungary,Interest on public debt (% of GDP),2.2527823895298
2021,HUN,Hungary,Primary balance (% of GDP),-4.902373204503
2021,HUN,Hungary,Primary expenditure (% of GDP),46.152201095927
2021,HUN,Hungary,Real GDP growth rate (%),7.0612233324191
2021,HUN,Hungary,Real long-term bond yield (%),-2.7396547894653
2022,HUN,Hungary,Government expenditure (% of GDP),48.939498887565
2022,HUN,Hungary,Government revenue (% of GDP),42.711384775166
2022,HUN,Hungary,Gross public debt (% of GDP),74.064756375063
2022,HUN,Hungary,Interest on public debt (% of GDP),2.8362857899168
2022,HUN,Hungary,Primary balance (% of GDP),-3.3918283224829
2022,HUN,Hungary,Primary expenditure (% of GDP),46.103213097649
2022,HUN,Hungary,Real GDP growth rate (%),4.5834076729507
2022,HUN,Hungary,Real long-term bond yield (%),-6.5086015724037
2023,HUN,Hungary,Government expenditure (% of GDP),49.114585020318
2023,HUN,Hungary,Government revenue (% of GDP),42.422595356614
2023,HUN,Hungary,Gross public debt (% of GDP),73.45312426138
2023,HUN,Hungary,Interest on public debt (% of GDP),4.708441008643
2023,HUN,Hungary,Primary balance (% of GDP),-1.9835486550606
2023,HUN,Hungary,Primary expenditure (% of GDP),44.406144011675
2023,HUN,Hungary,Real GDP growth rate (%),-0.90768822742199
2023,HUN,Hungary,Real long-term bond yield (%),-9.1447152808138
2005,IND,India,Government expenditure (% of GDP),26.876347487562
2005,IND,India,Government revenue (% of GDP),19.383784721362
2005,IND,India,Gross public debt (% of GDP),82.377825890042
2005,IND,India,Interest on public debt (% of GDP),5.613070016767
2005,IND,India,Primary balance (% of GDP),-1.8794927494336
2005,IND,India,Primary expenditure (% of GDP),21.263277470795
2005,IND,India,Real GDP growth rate (%),9.2847162891977
2005,IND,India,Real long-term bond yield (%),3.1249803588094
2006,IND,India,Government expenditure (% of GDP),26.909660534524
2006,IND,India,Government revenue (% of GDP),20.529410313
2006,IND,India,Gross public debt (% of GDP),77.941103663538
2006,IND,India,Interest on public debt (% of GDP),5.4233858173331
2006,IND,India,Primary balance (% of GDP),-0.95686440419028
2006,IND,India,Primary expenditure (% of GDP),21.48627471719
2006,IND,India,Real GDP growth rate (%),9.2641198451136
2006,IND,India,Real long-term bond yield (%),1.2394034482629
2007,IND,India,Government expenditure (% of GDP),26.944679565432
2007,IND,India,Government revenue (% of GDP),22.358216328547
2007,IND,India,Gross public debt (% of GDP),75.455096650921
2007,IND,India,Interest on public debt (% of GDP),5.2807706597314
2007,IND,India,Primary balance (% of GDP),0.69430742284624
2007,IND,India,Primary expenditure (% of GDP),21.663908905701
2007,IND,India,Real GDP growth rate (%),9.8013942952196
2007,IND,India,Real long-term bond yield (%),1.4327930689938
2008,IND,India,Government expenditure (% of GDP),29.293117343562
2008,IND,India,Government revenue (% of GDP),20.122135052547
2008,IND,India,Gross public debt (% of GDP),74.367659211302
2008,IND,India,Interest on public debt (% of GDP),5.1361553457922
2008,IND,India,Primary balance (% of GDP),-4.0348269452228
2008,IND,India,Primary expenditure (% of GDP),24.156961997769
2008,IND,India,Real GDP growth rate (%),3.890894976417
2008,IND,India,Real long-term bond yield (%),-2.0475437504009
2009,IND,India,Government expenditure (% of GDP),28.543001471787
2009,IND,India,Government revenue (% of GDP),18.842115415124
2009,IND,India,Gross public debt (% of GDP),72.769814001926
2009,IND,India,Interest on public debt (% of GDP),4.9911237259303
2009,IND,India,Primary balance (% of GDP),-4.7097623307327
2009,IND,India,Primary expenditure (% of GDP),23.551877745857
2009,IND,India,Real GDP growth rate (%),8.4798532724988
2009,IND,India,Real long-term bond yield (%),-4.4894133730212
2010,IND,India,Government expenditure (% of GDP),27.985310178703
2010,IND,India,Government revenue (% of GDP),19.190382174532
2010,IND,India,Gross public debt (% of GDP),67.701786780877
2010,IND,India,Interest on public debt (% of GDP),4.5566894623988
2010,IND,India,Primary balance (% of GDP),-4.2382385417717
2010,IND,India,Primary expenditure (% of GDP),23.428620716304
2010,IND,India,Real GDP growth rate (%),10.259974743522
2010,IND,India,Real long-term bond yield (%),-2.5060469073149
2011,IND,India,Government expenditure (% of GDP),27.640581685902
2011,IND,India,Government revenue (% of GDP),19.291430039845
2011,IND,India,Gross public debt (% of GDP),68.647828516093
2011,IND,India,Interest on public debt (% of GDP),4.5777539309985
2011,IND,India,Primary balance (% of GDP),-3.7713977150588
2011,IND,India,Primary expenditure (% of GDP),23.062827754904
2011,IND,India,Real GDP growth rate (%),5.2412651603857
2011,IND,India,Real long-term bond yield (%),0.44867682279093
2012,IND,India,Government expenditure (% of GDP),27.363855024281
2012,IND,India,Government revenue (% of GDP),19.814295339606
2012,IND,India,Gross public debt (% of GDP),67.984531684904
2012,IND,India,Interest on public debt (% of GDP),4.5677280091231
2012,IND,India,Primary balance (% of GDP),-2.9818316755513
2012,IND,India,Primary expenditure (% of GDP),22.796127015158
2012,IND,India,Real GDP growth rate (%),5.4564101859705
2012,IND,India,Real long-term bond yield (%),-2.0389290754804
2013,IND,India,Government expenditure (% of GDP),26.599948101753
2013,IND,India,Government revenue (% of GDP),19.600329905497
2013,IND,India,Gross public debt (% of GDP),67.713352890278
2013,IND,India,Interest on public debt (% of GDP),4.7551113987423
2013,IND,India,Primary balance (% of GDP),-2.2445067975132
2013,IND,India,Primary expenditure (% of GDP),21.84483670301
2013,IND,India,Real GDP growth rate (%),6.386071016887
2013,IND,India,Real long-term bond yield (%),-0.50551688311653
2014,IND,India,Government expenditure (% of GDP),26.220442077132
2014,IND,India,Government revenue (% of GDP),19.149373514192
2014,IND,India,Gross public debt (% of GDP),67.102041059827
2014,IND,India,Interest on public debt (% of GDP),4.6879942669049
2014,IND,India,Primary balance (% of GDP),-2.3830742960356
2014,IND,India,Primary expenditure (% of GDP),21.532447810227
2014,IND,India,Real GDP growth rate (%),7.4101885756787
2014,IND,India,Real long-term bond yield (%),2.0845087266251
2015,IND,India,Government expenditure (% of GDP),27.058974489303
2015,IND,India,Government revenue (% of GDP),19.853890285052
2015,IND,India,Gross public debt (% of GDP),69.048587042646
2015,IND,India,Interest on public debt (% of GDP),4.705607662576
2015,IND,India,Primary balance (% of GDP),-2.4994765416751
2015,IND,India,Primary expenditure (% of GDP),22.353366826727
2015,IND,India,Real GDP growth rate (%),7.9962612809862
2015,IND,India,Real long-term bond yield (%),3.186752475109
2016,IND,India,Government expenditure (% of GDP),27.232843544593
2016,IND,India,Government revenue (% of GDP),20.112833830093
2016,IND,India,Gross public debt (% of GDP),68.94309137139
2016,IND,India,Interest on public debt (% of GDP),4.7067342270202
2016,IND,India,Primary balance (% of GDP),-2.4132754874791
2016,IND,India,Primary expenditure (% of GDP),22.526109317572
2016,IND,India,Real GDP growth rate (%),8.2563070111324
2016,IND,India,Real long-term bond yield (%),2.6477038497524
2017,IND,India,Government expenditure (% of GDP),26.231662594119
2017,IND,India,Government revenue (% of GDP),20.004426900113
2017,IND,India,Gross public debt (% of GDP),69.669382586151
2017,IND,India,Interest on public debt (% of GDP),4.8102434341874
2017,IND,India,Primary balance (% of GDP),-1.4169922598191
2017,IND,India,Primary expenditure (% of GDP),21.421419159932
2017,IND,India,Real GDP growth rate (%),6.7953939612567
2017,IND,India,Real long-term bond yield (%),3.8333141185498
2018,IND,India,Government expenditure (% of GDP),26.327665031804
2018,IND,India,Government revenue (% of GDP),19.951849572899
2018,IND,India,Gross public debt (% of GDP),70.392344440794
2018,IND,India,Interest on public debt (% of GDP),4.7694889222934
2018,IND,India,Primary balance (% of GDP),-1.606326536611
2018,IND,India,Primary expenditure (% of GDP),21.55817610951
2018,IND,India,Real GDP growth rate (%),6.4538387685266
2018,IND,India,Real long-term bond yield (%),4.1744197530867
2019,IND,India,Government expenditure (% of GDP),26.845837549413
2019,IND,India,Government revenue (% of GDP),19.151764829068
2019,IND,India,Gross public debt (% of GDP),75.040396296632
2019,IND,India,Interest on public debt (% of GDP),4.7541898685757
2019,IND,India,Primary balance (% of GDP),-2.9398828517693
2019,IND,India,Primary expenditure (% of GDP),22.091647680837
2019,IND,India,Real GDP growth rate (%),3.8714606182703
2020,IND,India,Government expenditure (% of GDP),31.019246231257
2020,IND,India,Government revenue (% of GDP),18.15482744622
2020,IND,India,Gross public debt (% of GDP),88.426607962688
2020,IND,India,Interest on public debt (% of GDP),5.6944126805043
2020,IND,India,Primary balance (% of GDP),-7.1700061045325
2020,IND,India,Primary expenditure (% of GDP),25.324833550753
2020,IND,India,Real GDP growth rate (%),-5.7777144807164
2021,IND,India,Government expenditure (% of GDP),29.705921991406
2021,IND,India,Government revenue (% of GDP),20.438265503827
2021,IND,India,Gross public debt (% of GDP),83.486537886815
2021,IND,India,Interest on public debt (% of GDP),5.2782944180291
2021,IND,India,Primary balance (% of GDP),-3.98936206955
2021,IND,India,Primary expenditure (% of GDP),24.427627573377
2021,IND,India,Real GDP growth rate (%),9.6896137020651
2022,IND,India,Government expenditure (% of GDP),29.14505051086
2022,IND,India,Government revenue (% of GDP),19.950325653733
2022,IND,India,Gross public debt (% of GDP),81.683465742309
2022,IND,India,Interest on public debt (% of GDP),5.0269354889581
2022,IND,India,Primary balance (% of GDP),-4.167789368169
2022,IND,India,Primary expenditure (% of GDP),24.118115021902
2022,IND,India,Real GDP growth rate (%),6.9870222376072
2023,IND,India,Government expenditure (% of GDP),29.115080610512
2023,IND,India,Government revenue (% of GDP),20.795063800578
2023,IND,India,Gross public debt (% of GDP),83.020485964203
2023,IND,India,Interest on public debt (% of GDP),5.4108437932845
2023,IND,India,Primary balance (% of GDP),-2.9091730166498
2023,IND,India,Primary expenditure (% of GDP),23.704236817228
2023,IND,India,Real GDP growth rate (%),8.152914830852
2005,IDN,Indonesia,Government expenditure (% of GDP),17.397795496962
2005,IDN,Indonesia,Government revenue (% of GDP),17.859578092103
2005,IDN,Indonesia,Gross public debt (% of GDP),42.611727208196
2005,IDN,Indonesia,Interest on public debt (% of GDP),2.1608051292476
2005,IDN,Indonesia,Primary balance (% of GDP),2.6225877243885
2005,IDN,Indonesia,Primary expenditure (% of GDP),15.236990367715
2005,IDN,Indonesia,Real GDP growth rate (%),5.6925749694469
2005,IDN,Indonesia,Real long-term bond yield (%),3.1591347108572
2006,IDN,Indonesia,Government expenditure (% of GDP),18.416572790042
2006,IDN,Indonesia,Government revenue (% of GDP),18.867516191851
2006,IDN,Indonesia,Gross public debt (% of GDP),35.84773408699
2006,IDN,Indonesia,Interest on public debt (% of GDP),2.1774941170928
2006,IDN,Indonesia,Primary balance (% of GDP),2.6284375189018
2006,IDN,Indonesia,Primary expenditure (% of GDP),16.239078672949
2006,IDN,Indonesia,Real GDP growth rate (%),5.5009509994687
2006,IDN,Indonesia,Real long-term bond yield (%),-2.9258633246882
2007,IDN,Indonesia,Government expenditure (% of GDP),18.734886075426
2007,IDN,Indonesia,Government revenue (% of GDP),17.782203540012
2007,IDN,Indonesia,Gross public debt (% of GDP),38.120939512557
2007,IDN,Indonesia,Interest on public debt (% of GDP),1.8572095397808
2007,IDN,Indonesia,Primary balance (% of GDP),0.90452700436652
